_,#,#,#,#,#,#,# ,_,#,#,#,#,#,#,# 
_,#,_,_,_,_,_,#,_,#,_,_,_,_,_,#
_,#,_,#,_,#,_,#,_,#,_,#,_,#,_,#
_,#,_,#,_,#,_,#,_,#,_,#,_,#,_,#
_,#,#,#,_,#,_,#,_,#,#,#,_,#,_,#
_,_,_,_,_,#,_,C,_,_,_,_,_,#,_,C
_,#,_,_,_,#,_,#,_,#,_,_,_,#,_,#
_,#,#,#,#,#,#,#,_,#,#,#,#,#,#,#
_,#,_,_,_,_,_,#,_,#,_,_,_,_,_,#
_,#,_,#,_,#,_,#,_,#,_,#,_,#,_,#
_,#,_,#,_,#,_,#,_,#,_,#,_,#,_,#
_,#,#,#,_,#,_,#,_,#,#,#,_,#,_,#
_,_,_,_,_,#,_,C,_,_,_,_,_,#,_,C
_,#,_,_,_,#,_,#,_,#,_,_,_,#,_,#
_,#,#,#,#,#,#,#,_,#,#,#,#,#,#,#
_,#,_,_,_,_,_,#,_,#,_,_,_,_,_,#
_,#,_,#,_,#,_,#,_,#,_,#,_,#,_,#
_,#,_,#,_,#,_,#,_,#,_,#,_,#,_,#
_,#,#,#,_,#,_,#,_,#,#,#,_,#,_,#
_,_,_,_,_,#,_,C,_,_,_,_,_,#,_,C
_,#,_,_,_,#,_,#,_,#,_,_,_,#,_,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
